track_id,track_name,artist,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness,popularity
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,other,0.726,0.431,0.348,0.731,0.135,0.0,0.696,144.026,-8.765,90
7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,other,0.7440000000000001,0.619,0.6409999999999999,0.598,0.039,0.00372,0.231,112.997,-9.805,90
2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),Juice WRLD,other,0.625,0.8140000000000001,0.535,0.0172,0.0657,0.0,0.158,144.991,-5.181,90
4ZRrLHqzhGRXYj2qcB4s5S,Tattoo - Remix with Camilo,Rauw Alejandro,other,0.848,0.637,0.698,0.0413,0.156,0.0,0.0521,96.988,-5.1320000000000014,90
249gnXrbfmV8NG6jTEMSwD,Life Goes On,BTS,other,0.5660000000000001,0.716,0.45,0.00691,0.0424,0.0,0.37,81.068,-5.733,90
6fmQjRuo7XvRFCK2qex5hQ,Mi Cuarto,Jerry Di,other,0.8540000000000001,0.525,0.63,0.8190000000000001,0.214,0.0,0.146,97.054,-4.426,89
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And I,other,0.8240000000000001,0.588,0.513,0.6920000000000001,0.0924,0.000104,0.149,98.027,-6.4,89
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,other,0.695,0.762,0.5529999999999999,0.192,0.0395,0.00244,0.0863,120.042,-3.497,89
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,other,0.511,0.5660000000000001,0.218,0.349,0.2,0.0,0.34,83.90299999999998,-7.23,89
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,other,0.8959999999999999,0.586,0.642,0.104,0.0559,0.0,0.79,116.971,-6.687,89
21N4Buj4xsyLb218lYle61,Chica Ideal,Sebastian Yatra,other,0.574,0.8909999999999999,0.7070000000000001,0.0847,0.157,0.0,0.16,100.978,-3.665,89
2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,other,0.904,0.723,0.835,0.0631,0.26,0.0,0.185,145.013,-5.224,88
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),Machine Gun Kelly,other,0.731,0.675,0.298,0.00473,0.0434,0.0,0.141,124.939,-5.134,88
4DuUwzP4ALMqpquHU0ltAB,Tyler Herro,Jack Harlow,other,0.794,0.7559999999999999,0.775,0.11,0.136,0.0,0.247,123.066,-7.16,88
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa,other,0.674,0.774,0.33,0.0686,0.0892,0.00188,0.393,112.05,-7.567,88
6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,other,0.685,0.6920000000000001,0.578,0.328,0.0457,0.0,0.153,159.966,-5.122000000000001,88
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,other,0.598,0.4270000000000001,0.0605,0.0546,0.0317,5.83e-06,0.21,76.469,-8.764,88
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,other,0.738,0.621,0.715,0.424,0.0486,7.39e-06,0.6920000000000001,113.968,-7.313,88
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,Polo G,other,0.8320000000000001,0.534,0.116,0.345,0.253,0.0,0.165,93.924,-7.813,87
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,other,0.872,0.391,0.4370000000000001,0.469,0.242,4.13e-06,0.297,134.02100000000002,-9.144,87
6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,other,0.7979999999999999,0.62,0.235,0.414,0.232,0.0192,0.112,120.031,-7.079,87
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,other,0.611,0.797,0.518,0.00543,0.0533,0.00137,0.26,120.041,-7.627000000000002,87
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,other,0.612,0.807,0.398,0.0495,0.0336,0.0177,0.101,124.053,-2.81,87
5psEZhQu6lukjhavJo4AbC,SO DONE,The Kid LAROI,other,0.7190000000000001,0.598,0.303,0.232,0.077,0.0,0.115,142.592,-6.254,87
2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,other,0.652,0.383,0.5489999999999999,0.0676,0.0516,0.0,0.0828,145.765,-7.0760000000000005,87
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,JP Saxe,other,0.464,0.473,0.604,0.866,0.129,0.0,0.109,75.801,-10.086,87
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,other,0.6709999999999999,0.529,0.203,0.0769,0.307,0.000335,0.0856,161.989,-7.226,87
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,other,0.621,0.601,0.457,0.0522,0.148,0.0,0.46,116.735,-5.6160000000000005,87
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,other,0.88,0.7509999999999999,0.884,0.177,0.0874,6.43e-05,0.106,117.948,-4.258,87
